SC1095: 2D CFD runs
4 31    :nMach nAoA
==============================
-- Lift coefficient
==============================
0	-10	-1.04E+00
0	-9	-9.54E-01
0	-8	-8.48E-01
0	-7	-7.37E-01
0	-6	-6.23E-01
0	-5	-5.05E-01
0	-4	-3.85E-01
0	-3	-2.66E-01
0	-2	-1.47E-01
0	-1	-2.76E-02
0	0	9.17E-02
0	1	2.11E-01
0	2	3.30E-01
0	3	4.48E-01
0	4	5.66E-01
0	5	6.82E-01
0	6	7.95E-01
0	7	9.06E-01
0	8	1.02E+00
0	9	1.12E+00
0	10	1.24E+00
0	11	1.34E+00
0	12	1.41E+00
0	13	1.44E+00
0	14	1.40E+00
0	15	1.31E+00
0	16	1.17E+00
0	17	1.04E+00
0	18	1.00E+00
0	19	9.68E-01
0	20	9.37E-01 
0.3	-10	-1.04E+00
0.3	-9	-9.54E-01
0.3	-8	-8.48E-01
0.3	-7	-7.37E-01
0.3	-6	-6.23E-01
0.3	-5	-5.05E-01
0.3	-4	-3.85E-01
0.3	-3	-2.66E-01
0.3	-2	-1.47E-01
0.3	-1	-2.76E-02
0.3	0	9.17E-02
0.3	1	2.11E-01
0.3	2	3.30E-01
0.3	3	4.48E-01
0.3	4	5.66E-01
0.3	5	6.82E-01
0.3	6	7.95E-01
0.3	7	9.06E-01
0.3	8	1.02E+00
0.3	9	1.12E+00
0.3	10	1.24E+00
0.3	11	1.34E+00
0.3	12	1.41E+00
0.3	13	1.44E+00
0.3	14	1.40E+00
0.3	15	1.31E+00
0.3	16	1.17E+00
0.3	17	1.04E+00
0.3	18	1.00E+00
0.3	19	9.68E-01
0.3	20	9.37E-01
0.4	-10	-8.81E-01
0.4	-9	-8.90E-01
0.4	-8	-8.59E-01
0.4	-7	-7.79E-01
0.4	-6	-6.62E-01
0.4	-5	-5.28E-01
0.4	-4	-3.96E-01
0.4	-3	-2.70E-01
0.4	-2	-1.46E-01
0.4	-1	-2.36E-02
0.4	0	9.91E-02
0.4	1	2.22E-01
0.4	2	3.44E-01
0.4	3	4.65E-01
0.4	4	5.86E-01
0.4	5	7.07E-01
0.4	6	8.31E-01
0.4	7	9.56E-01
0.4	8	1.08E+00
0.4	9	1.19E+00
0.4	10	1.27E+00
0.4	11	1.28E+00
0.4	12	1.24E+00
0.4	13	1.16E+00
0.4	14	1.06E+00
0.4	15	9.94E-01
0.4	16	9.72E-01
0.4	17	9.75E-01
0.4	18	9.41E-01
0.4	19	9.25E-01
0.4	20	9.16E-01
0.5	-10	-7.16E-01
0.5	-9	-7.74E-01
0.5	-8	-7.99E-01
0.5	-7	-7.65E-01
0.5	-6	-6.77E-01
0.5	-5	-5.59E-01
0.5	-4	-4.29E-01
0.5	-3	-2.96E-01
0.5	-2	-1.61E-01
0.5	-1	-2.81E-02
0.5	0	1.05E-01
0.5	1	2.38E-01
0.5	2	3.71E-01
0.5	3	5.03E-01
0.5	4	6.35E-01
0.5	5	7.68E-01
0.5	6	9.01E-01
0.5	7	1.03E+00
0.5	8	1.13E+00
0.5	9	1.18E+00
0.5	10	1.16E+00
0.5	11	1.09E+00
0.5	12	1.01E+00
0.5	13	9.25E-01
0.5	14	8.74E-01
0.5	15	8.54E-01
0.5	16	8.55E-01
0.5	17	8.57E-01
0.5	18	8.46E-01
0.5	19	8.56E-01
0.5	20	8.72E-01
==============================
-- Drag coefficient
==============================
0	-10	2.32E-02
0	-9	1.51E-02
0	-8	1.27E-02
0	-7	1.27E-02
0	-6	1.17E-02
0	-5	1.08E-02
0	-4	1.03E-02
0	-3	9.86E-03
0	-2	9.68E-03
0	-1	9.59E-03
0	0	9.59E-03
0	1	9.68E-03
0	2	9.86E-03
0	3	1.02E-02
0	4	1.06E-02
0	5	1.11E-02
0	6	1.18E-02
0	7	1.28E-02
0	8	1.39E-02
0	9	1.50E-02
0	10	1.62E-02
0	11	1.86E-02
0	12	2.36E-02
0	13	3.32E-02
0	14	5.09E-02
0	15	7.90E-02
0	16	1.20E-01
0	17	1.64E-01
0	18	1.95E-01
0	19	2.31E-01
0	20	2.66E-01
0.3	-10	2.32E-02
0.3	-9	1.51E-02
0.3	-8	1.27E-02
